,Religious Bodies,Tradition,Family,Congregations,Adherents,Adherence Rate†
0,Advent Christian Church,Evangelical Protestant,Adventist,1,22,0.08
1,American Baptist Churches in the USA,Mainline Protestant,Baptist,9,"4,128",14.59
2,Assemblies of God,Evangelical Protestant,Pentecostal,8,"1,897",6.70
3,Black Baptists Estimate,Evangelical Protestant,Baptist,---,"10,863",38.39
4,Catholic Church,Catholic,Catholicism,14,"34,376",121.50
5,"Christian and Missionary Alliance, The",Evangelical Protestant,Holiness,1,167,0.59
6,Christian Brethren,Evangelical Protestant,Ind. Fundamentalist,1,15,0.05
7,Christian Church (Disciples of Christ),Mainline Protestant,Baptist,1,188,0.66
8,Christian Churches and Churches of Christ,Evangelical Protestant,Baptist,2,97,0.34
9,Christian Reformed Church in North America,Evangelical Protestant,Presbyterian-Reformed,3,645,2.28
10,"Church of Christ, Scientist",Other,Christian Science,2,---,---
11,"Church of God (Anderson, Indiana)",Evangelical Protestant,Holiness,3,341,1.21
12,"Church of God (Cleveland, Tennessee)",Evangelical Protestant,Pentecostal,1,397,1.40
13,Church of God of Prophecy,Evangelical Protestant,Pentecostal,1,42,0.15
14,"Church of God, Mountain Assembly, Inc.",Evangelical Protestant,Pentecostal,1,61,0.22
15,"Church of Jesus Christ of Latter-day Saints, The",Other,Latter-day Saints,3,"1,019",3.60
16,Church of the Brethren,Evangelical Protestant,European Free-Church,1,31,0.11
17,Church of the Nazarene,Evangelical Protestant,Holiness,3,283,1.00
18,Churches of Christ,Evangelical Protestant,Baptist,6,884,3.12
19,Conservative Congregational Christian Conference,Evangelical Protestant,Presbyterian-Reformed,1,8,0.03
20,Converge Worldwide/Baptist General Conference,Evangelical Protestant,Baptist,2,386,1.36
21,Episcopal Church,Mainline Protestant,Episcopalianism/Anglicanism,8,"3,386",11.97
22,"Evangelical Free Church of America, The",Evangelical Protestant,Methodist/Pietist,1,80,0.28
23,Evangelical Lutheran Church in America,Mainline Protestant,Lutheran,10,"6,112",21.60
24,Evangelical Presbyterian Church,Evangelical Protestant,Presbyterian-Reformed,1,144,0.51
25,Free Methodist Church of North America,Evangelical Protestant,Holiness,4,987,3.49
26,Friends (Quakers),Mainline Protestant,European Free-Church,3,338,1.19
27,Greek Orthodox Archdiocese of America,Orthodox,Eastern Liturgical (Orthodox),1,---,---
28,Independent Fundamental Churches of America,Evangelical Protestant,Ind. Fundamentalist,2,---,---
29,"Independent, Charismatic Churches",Evangelical Protestant,Pentecostal,2,850,3.00
30,"Independent, Non-Charismatic Churches",Evangelical Protestant,----,2,750,2.65
31,Jewish,Other,Judaism,3,"4,500",15.90
32,Lutheran Church--Missouri Synod,Evangelical Protestant,Lutheran,11,"4,132",14.60
33,Mennonite Church USA,Evangelical Protestant,European Free-Church,4,96,0.34
34,"Missionary Church, The",Evangelical Protestant,Holiness,1,13,0.05
35,National Association of Congregational Christian Churches,Mainline Protestant,Presbyterian-Reformed,1,"1,105",3.91
36,National Association of Free Will Baptists,Evangelical Protestant,Baptist,5,871,3.08
37,Old Regular Baptists,Evangelical Protestant,Baptist,1,81,0.29
38,"Open Bible Standard Churches, Inc.",Evangelical Protestant,Pentecostal,1,---,---
39,Pentecostal Church of God,Evangelical Protestant,Pentecostal,3,230,0.81
40,Presbyterian Church (U.S.A.),Mainline Protestant,Presbyterian-Reformed,7,"4,471",15.80
41,Reformed Church in America,Mainline Protestant,Presbyterian-Reformed,1,105,0.37
42,Salvation Army,Evangelical Protestant,Holiness,2,237,0.84
43,Seventh-day Adventist Church,Evangelical Protestant,Adventist,2,489,1.73
44,Southern Baptist Convention,Evangelical Protestant,Baptist,6,"3,450",12.19
45,Unitarian Universalist Association of Congregations,Other,Liberal,2,715,2.53
46,United Baptists,Evangelical Protestant,Baptist,1,31,0.11
47,United Church of Christ,Mainline Protestant,Presbyterian-Reformed,12,"5,627",19.89
48,"United Methodist Church, The",Mainline Protestant,Methodist/Pietist,19,"7,503",26.52
49,"Wesleyan Church, The",Evangelical Protestant,Holiness,1,68,0.24
50,Wisconsin Evangelical Lutheran Synod,Evangelical Protestant,Lutheran,6,"1,995",7.05
